IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
47.236.182.155,443,true,SIN,Asia Pacific,Singapore,69,0.04
8.219.128.161,443,true,ICN,Asia Pacific,Seoul,63,0.04
158.178.230.79,443,true,SIN,Asia Pacific,Singapore,252,0.04
129.150.48.166,443,true,SIN,Asia Pacific,Singapore,252,0.03
129.154.61.100,443,true,ICN,Asia Pacific,Seoul,208,0.03
47.236.122.29,443,true,SIN,Asia Pacific,Singapore,60,0.03
47.236.206.73,443,true,SIN,Asia Pacific,Singapore,59,0.03
157.254.252.148,443,true,NRT,Asia Pacific,Tokyo,43,0.03
168.138.192.227,443,true,NRT,Asia Pacific,Tokyo,186,0.03
8.219.159.91,443,true,SIN,Asia Pacific,Singapore,66,0.03
8.219.211.168,443,true,SIN,Asia Pacific,Singapore,62,0.03
130.162.152.26,443,true,ICN,Asia Pacific,Seoul,66,0.03
129.150.34.168,443,true,SIN,Asia Pacific,Singapore,254,0.03
8.219.195.23,443,true,SIN,Asia Pacific,Singapore,78,0.03
47.236.188.121,443,true,SIN,Asia Pacific,Singapore,73,0.03
8.219.132.230,443,true,SIN,Asia Pacific,Singapore,76,0.03
47.245.103.200,443,true,SIN,Asia Pacific,Singapore,67,0.03
47.245.112.172,443,true,SIN,Asia Pacific,Singapore,66,0.03
47.236.194.255,443,true,SIN,Asia Pacific,Singapore,74,0.03
138.2.112.184,443,true,ICN,Asia Pacific,Seoul,213,0.03
152.67.211.136,443,true,ICN,Asia Pacific,Seoul,211,0.03
47.236.170.96,443,true,SIN,Asia Pacific,Singapore,77,0.03
47.236.152.85,443,true,SIN,Asia Pacific,Singapore,68,0.03
129.154.48.245,443,true,ICN,Asia Pacific,Seoul,204,0.02
158.180.76.83,443,true,ICN,Asia Pacific,Seoul,205,0.02
146.56.109.143,443,true,ICN,Asia Pacific,Seoul,215,0.02
130.162.131.97,443,true,ICN,Asia Pacific,Seoul,71,0.02
144.24.67.106,443,true,ICN,Asia Pacific,Seoul,216,0.02
8.218.204.104,443,true,HKG,Asia Pacific,Hong Kong,38,0.02
47.236.168.151,443,true,SIN,Asia Pacific,Singapore,68,0.02
38.47.121.110,443,true,NRT,Asia Pacific,Tokyo,66,0.02
146.56.148.5,443,true,ICN,Asia Pacific,Seoul,71,0.02
138.2.122.207,443,true,ICN,Asia Pacific,Seoul,208,0.02
129.154.50.148,443,true,ICN,Asia Pacific,Seoul,214,0.02
131.186.61.85,443,true,NRT,Asia Pacific,Tokyo,189,0.02
158.101.146.229,443,true,NRT,Asia Pacific,Tokyo,192,0.02
152.67.196.11,443,true,ICN,Asia Pacific,Seoul,210,0.02
38.47.111.149,443,true,KIX,Asia Pacific,Osaka,78,0.02
168.138.44.186,443,true,KIX,Asia Pacific,Osaka,177,0.02
38.47.124.75,443,true,NRT,Asia Pacific,Tokyo,37,0.02
8.222.170.244,443,true,SIN,Asia Pacific,Singapore,66,0.02
8.219.230.102,443,true,SIN,Asia Pacific,Singapore,63,0.02
47.76.231.11,443,true,HKG,Asia Pacific,Hong Kong,31,0.02
138.2.80.49,443,true,SIN,Asia Pacific,Singapore,255,0.02
158.179.169.254,443,true,ICN,Asia Pacific,Seoul,210,0.01
47.239.43.250,443,true,HKG,Asia Pacific,Hong Kong,34,0.01
131.186.45.80,443,true,NRT,Asia Pacific,Tokyo,176,0.01
54.251.103.15,443,true,SIN,Asia Pacific,Singapore,67,0.01
193.123.238.198,443,true,ICN,Asia Pacific,Seoul,63,0.01
152.69.227.165,443,true,ICN,Asia Pacific,Seoul,208,0.01
168.138.47.86,443,true,KIX,Asia Pacific,Osaka,193,0.01
38.47.99.105,443,true,KIX,Asia Pacific,Osaka,82,0.01
168.138.197.97,443,true,NRT,Asia Pacific,Tokyo,177,0.01
8.219.192.59,443,true,SIN,Asia Pacific,Singapore,69,0.01
152.67.218.150,443,true,ICN,Asia Pacific,Seoul,228,0.01
168.138.163.191,443,true,SIN,Asia Pacific,Singapore,111,0.01
138.2.81.210,443,true,SIN,Asia Pacific,Singapore,255,0.01
47.76.166.145,443,true,HKG,Asia Pacific,Hong Kong,35,0.01
217.142.133.49,443,true,ICN,Asia Pacific,Seoul,83,0.01
152.67.198.78,443,true,ICN,Asia Pacific,Seoul,206,0.01
152.67.196.37,443,true,ICN,Asia Pacific,Seoul,221,0.01
38.47.111.5,443,true,KIX,Asia Pacific,Osaka,55,0.01
