IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
5.10.244.232,443,true,LAX,North America,Los Angeles,179,3.75
45.131.210.240,443,true,LAX,North America,Los Angeles,184,3.75
108.162.194.105,443,true,LAX,North America,Los Angeles,173,3.75
5.10.245.197,443,true,LAX,North America,Los Angeles,190,3.75
31.12.75.142,443,true,LAX,North America,Los Angeles,180,3.75
45.131.210.233,443,true,LAX,North America,Los Angeles,185,3.75
130.250.137.111,443,true,LAX,North America,Los Angeles,182,3.75
5.10.245.115,443,true,LAX,North America,Los Angeles,192,3.74
5.10.244.56,443,true,LAX,North America,Los Angeles,177,3.74
5.10.247.187,443,true,LAX,North America,Los Angeles,183,3.74
45.131.209.63,443,true,LAX,North America,Los Angeles,181,3.74
45.131.210.9,443,true,LAX,North America,Los Angeles,182,3.74
5.10.244.29,443,true,LAX,North America,Los Angeles,176,3.74
5.10.245.74,443,true,LAX,North America,Los Angeles,185,3.74
45.131.209.117,443,true,LAX,North America,Los Angeles,1274,3.74
45.131.209.19,443,true,LAX,North America,Los Angeles,169,3.74
5.10.244.51,443,true,LAX,North America,Los Angeles,183,3.74
5.10.246.94,443,true,LAX,North America,Los Angeles,175,3.74
5.10.245.238,443,true,LAX,North America,Los Angeles,185,3.74
45.131.211.35,443,true,LAX,North America,Los Angeles,176,3.74
45.131.209.1,443,true,LAX,North America,Los Angeles,187,3.73
5.10.244.80,443,true,LAX,North America,Los Angeles,248,3.73
5.10.245.82,443,true,LAX,North America,Los Angeles,194,3.73
5.10.246.87,443,true,LAX,North America,Los Angeles,183,3.73
5.10.247.91,443,true,LAX,North America,Los Angeles,184,3.73
5.10.244.166,443,true,LAX,North America,Los Angeles,179,3.73
45.131.210.45,443,true,LAX,North America,Los Angeles,181,3.73
45.131.210.227,443,true,LAX,North America,Los Angeles,178,3.73
5.10.246.47,443,true,LAX,North America,Los Angeles,178,3.72
5.10.247.39,443,true,LAX,North America,Los Angeles,173,3.72
45.131.209.249,443,true,LAX,North America,Los Angeles,184,3.72
45.131.210.64,443,true,LAX,North America,Los Angeles,189,3.72
45.131.209.159,443,true,LAX,North America,Los Angeles,184,3.72
31.12.75.161,443,true,LAX,North America,Los Angeles,181,3.72
130.250.137.168,443,true,LAX,North America,Los Angeles,185,3.72
45.131.209.11,443,true,LAX,North America,Los Angeles,181,3.72
108.162.194.156,443,true,LAX,North America,Los Angeles,188,3.72
45.131.211.169,443,true,LAX,North America,Los Angeles,171,3.71
45.131.209.255,443,true,LAX,North America,Los Angeles,167,3.71
5.10.245.7,443,true,LAX,North America,Los Angeles,173,3.71
5.10.245.19,443,true,LAX,North America,Los Angeles,187,3.71
5.10.244.228,443,true,LAX,North America,Los Angeles,180,3.70
31.12.75.237,443,true,LAX,North America,Los Angeles,182,3.70
5.10.245.240,443,true,LAX,North America,Los Angeles,176,3.70
5.10.244.148,443,true,LAX,North America,Los Angeles,176,3.70
45.131.208.34,443,true,LAX,North America,Los Angeles,265,3.70
45.131.209.0,443,true,LAX,North America,Los Angeles,194,3.70
5.10.247.184,443,true,LAX,North America,Los Angeles,188,3.70
45.131.209.165,443,true,LAX,North America,Los Angeles,181,3.70
45.131.209.80,443,true,LAX,North America,Los Angeles,177,3.70
5.10.244.141,443,true,LAX,North America,Los Angeles,185,3.70
5.10.244.101,443,true,LAX,North America,Los Angeles,177,3.70
45.131.209.139,443,true,LAX,North America,Los Angeles,176,3.69
5.10.245.101,443,true,LAX,North America,Los Angeles,174,3.69
45.131.209.126,443,true,LAX,North America,Los Angeles,183,3.69
5.10.246.73,443,true,LAX,North America,Los Angeles,189,3.69
45.131.208.81,443,true,LAX,North America,Los Angeles,174,3.69
45.131.208.62,443,true,LAX,North America,Los Angeles,172,3.69
45.131.208.24,443,true,LAX,North America,Los Angeles,183,3.69
45.131.211.90,443,true,LAX,North America,Los Angeles,183,3.69
5.10.246.59,443,true,LAX,North America,Los Angeles,179,3.69
5.10.247.118,443,true,LAX,North America,Los Angeles,171,3.69
5.10.245.229,443,true,LAX,North America,Los Angeles,186,3.69
45.131.208.75,443,true,LAX,North America,Los Angeles,184,3.69
5.10.244.231,443,true,LAX,North America,Los Angeles,182,3.69
5.10.247.93,443,true,LAX,North America,Los Angeles,175,3.69
45.131.209.210,443,true,LAX,North America,Los Angeles,169,3.69
45.131.208.237,443,true,LAX,North America,Los Angeles,176,3.68
5.10.244.64,443,true,LAX,North America,Los Angeles,177,3.68
5.10.246.173,443,true,LAX,North America,Los Angeles,176,3.68
5.10.246.77,443,true,LAX,North America,Los Angeles,189,3.68
